Chegada,Mercadoria,Quantidade,Origem,Sentido,Porto
25/10/2024 02:24:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
26/10/2024 17:30:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
28/10/2024 11:18:00,ENXOFRE A GRANEL,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
29/10/2024,FERTILIZANTES,2,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
29/10/2024,GRAN.SOLIDO NAO ESPECIF,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
29/10/2024 10:30:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
30/10/2024,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
30/10/2024 07:00:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
30/11/2024 05:00:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
31/10/2024 05:00:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
31/10/2024 07:00:00,FERTILIZANTES,1,GRANEIS SOLIDOS - IMPORTACAO,Importação,Porto de Santos
01/11/2024 05:00:00,ACUCAR A GRANEL,1,GRANEIS SOLIDOS - EXPORTACAO,Exportação,Porto de Santos
01/11/2024 07:00:00,ACUCAR A GRANEL,1,GRANEIS SOLIDOS - EXPORTACAO,Exportação,Porto de Santos
02/11/2024,ACUCAR A GRANEL,1,GRANEIS SOLIDOS - EXPORTACAO,Exportação,Porto de Santos
13/10/2024 07:30:00,ACUCAR A GRANEL,1,GRANEIS SOLIDOS - EXPORTACAO,Exportação,Porto de Santos
18/10/2024 01:30:00,ACUCAR A GRANEL,1,GRANEIS SOLIDOS - EXPORTACAO,Exportação,Porto de Santos
19/10/2024 16:00:00,ACUCAR A GRANEL,1,GRANEIS SOLIDOS - EXPORTACAO,Exportação,Porto de Santos
